,code
0,688981
1,688819
2,688788
3,688777
4,688699
5,688698
6,688689
7,688686
8,688680
9,688679
10,688678
11,688669
12,688668
13,688658
14,688656
15,688618
16,688617
17,688608
18,688600
19,688599
20,688598
21,688596
22,688595
23,688590
24,688589
25,688588
26,688586
27,688585
28,688580
29,688579
30,688578
31,688577
32,688571
33,688569
34,688568
35,688567
36,688566
37,688561
38,688560
39,688559
40,688558
41,688557
42,688556
43,688555
44,688551
45,688550
46,688536
47,688529
48,688528
49,688526
50,688521
51,688520
52,688519
53,688518
54,688516
55,688513
56,688510
57,688508
58,688505
59,688500
60,688488
61,688466
62,688418
63,688408
64,688399
65,688398
66,688396
67,688393
68,688390
69,688389
70,688388
71,688386
72,688379
73,688378
74,688377
75,688369
76,688368
77,688366
78,688365
79,688363
80,688360
81,688358
82,688357
83,688356
84,688350
85,688339
86,688338
87,688336
88,688335
89,688333
90,688330
91,688321
92,688318
93,688317
94,688313
95,688312
96,688311
97,688310
98,688309
99,688308
100,688301
101,688300
102,688299
103,688298
104,688289
105,688288
106,688286
107,688278
108,688277
109,688268
110,688266
111,688258
112,688256
113,688233
114,688229
115,688228
116,688222
117,688221
118,688219
119,688218
120,688215
121,688208
122,688202
123,688200
124,688199
125,688198
126,688196
127,688189
128,688188
129,688186
130,688185
131,688181
132,688180
133,688179
134,688178
135,688177
136,688169
137,688168
138,688166
139,688165
140,688160
141,688159
142,688158
143,688157
144,688156
145,688155
146,688139
147,688138
148,688136
149,688135
150,688133
151,688129
152,688128
153,688127
154,688126
155,688123
156,688122
157,688118
158,688116
159,688111
160,688108
161,688106
162,688101
163,688100
164,688099
165,688098
166,688096
167,688095
168,688093
169,688090
170,688089
171,688088
172,688086
173,688085
174,688081
175,688080
176,688078
177,688077
178,688069
179,688068
180,688066
181,688065
182,688063
183,688060
184,688058
185,688057
186,688056
187,688055
188,688051
189,688050
190,688039
191,688037
192,688036
193,688033
194,688030
195,688029
196,688028
197,688027
198,688026
199,688025
200,688023
201,688022
202,688021
203,688020
204,688019
205,688018
206,688017
207,688016
208,688015
209,688013
210,688012
211,688011
212,688010
213,688009
214,688008
215,688007
216,688006
217,688005
218,688004
219,688003
220,688002
221,688001
222,605500
223,605399
224,605398
225,605388
226,605377
227,605376
228,605369
229,605366
230,605358
231,605338
232,605336
233,605333
234,605318
235,605299
236,605288
237,605277
238,605266
239,605258
240,605255
241,605228
242,605222
243,605218
244,605199
245,605198
246,605188
247,605186
248,605183
249,605179
250,605178
251,605177
252,605169
253,605168
254,605166
255,605158
256,605155
257,605151
258,605136
259,605128
260,605123
261,605118
262,605116
263,605111
264,605108
265,605100
266,605099
267,605088
268,605068
269,605066
270,605058
271,605050
272,605018
273,605009
274,605008
275,605007
276,605006
277,605005
278,605003
279,605001
280,603999
281,603998
282,603997
283,603996
284,603995
285,603993
286,603992
287,603991
288,603990
289,603989
290,603988
291,603987
292,603986
293,603985
294,603983
295,603982
296,603980
297,603979
298,603978
299,603977
300,603976
301,603970
302,603969
303,603968
304,603967
305,603966
306,603963
307,603960
308,603959
309,603958
310,603956
311,603955
312,603950
313,603949
314,603948
315,603939
316,603938
317,603937
318,603936
319,603933
320,603931
321,603929
322,603928
323,603927
324,603926
325,603922
326,603920
327,603919
328,603918
329,603917
330,603916
331,603915
332,603912
333,603909
334,603908
335,603906
336,603903
337,603901
338,603900
339,603899
340,603898
341,603897
342,603896
343,603895
344,603893
345,603890
346,603889
347,603888
348,603887
349,603886
350,603885
351,603883
352,603882
353,603881
354,603880
355,603879
356,603878
357,603877
358,603876
359,603871
360,603869
361,603868
362,603867
363,603866
364,603863
365,603861
366,603860
367,603859
368,603858
369,603856
370,603855
371,603848
372,603843
373,603839
374,603838
375,603833
376,603829
377,603828
378,603826
379,603825
380,603823
381,603822
382,603819
383,603818
384,603817
385,603816
386,603815
387,603813
388,603811
389,603810
390,603809
391,603808
392,603806
393,603803
394,603801
395,603800
396,603799
397,603798
398,603797
399,603790
400,603789
401,603788
402,603787
403,603786
404,603779
405,603778
406,603777
407,603776
408,603773
409,603768
410,603767
411,603766
412,603758
413,603757
414,603755
415,603739
416,603738
417,603737
418,603733
419,603730
420,603729
421,603728
422,603727
423,603726
424,603725
425,603722
426,603721
427,603719
428,603718
429,603717
430,603716
431,603713
432,603712
433,603711
434,603709
435,603708
436,603707
437,603706
438,603703
439,603701
440,603700
441,603699
442,603698
443,603697
444,603696
445,603693
446,603690
447,603689
448,603688
449,603687
450,603686
451,603685
452,603683
453,603682
454,603681
455,603680
456,603679
457,603678
458,603677
459,603676
460,603669
461,603668
462,603667
463,603666
464,603665
465,603663
466,603662
467,603661
468,603660
469,603659
470,603658
471,603657
472,603656
473,603655
474,603650
475,603648
476,603639
477,603638
478,603637
479,603636
480,603633
481,603630
482,603629
483,603628
484,603626
485,603619
486,603618
487,603617
488,603616
489,603615
490,603613
491,603612
492,603611
493,603610
494,603609
495,603608
496,603607
497,603606
498,603605
499,603603
500,603602
501,603601
502,603600
503,603599
504,603598
505,603596
506,603595
507,603590
508,603589
509,603588
510,603587
511,603586
512,603585
513,603583
514,603580
515,603579
516,603578
517,603577
518,603569
519,603568
520,603567
521,603566
522,603565
523,603559
524,603558
525,603557
526,603556
527,603555
528,603551
529,603538
530,603536
531,603535
532,603533
533,603530
534,603528
535,603527
536,603520
537,603519
538,603518
539,603517
540,603516
541,603515
542,603508
543,603507
544,603506
545,603505
546,603501
547,603500
548,603499
549,603496
550,603489
551,603488
552,603486
553,603477
554,603466
555,603458
556,603456
557,603444
558,603439
559,603429
560,603421
561,603416
562,603408
563,603399
564,603398
565,603396
566,603393
567,603392
568,603390
569,603389
570,603388
571,603387
572,603386
573,603385
574,603383
575,603380
576,603379
577,603378
578,603377
579,603369
580,603368
581,603367
582,603366
583,603365
584,603363
585,603360
586,603359
587,603358
588,603357
589,603356
590,603355
591,603353
592,603351
593,603348
594,603345
595,603339
596,603338
597,603337
598,603336
599,603335
600,603333
601,603332
602,603331
603,603330
604,603329
605,603328
606,603327
607,603326
608,603323
609,603322
610,603321
611,603320
612,603319
613,603318
614,603317
615,603316
616,603315
617,603313
618,603311
619,603309
620,603308
621,603306
622,603305
623,603303
624,603301
625,603300
626,603299
627,603298
628,603297
629,603290
630,603289
631,603288
632,603286
633,603283
634,603279
635,603278
636,603277
637,603269
638,603268
639,603267
640,603266
641,603260
642,603259
643,603258
644,603256
645,603239
646,603238
647,603236
648,603233
649,603232
650,603229
651,603228
652,603227
653,603226
654,603225
655,603223
656,603222
657,603221
658,603220
659,603218
660,603217
661,603214
662,603212
663,603208
664,603203
665,603200
666,603199
667,603198
668,603197
669,603196
670,603195
671,603192
672,603189
673,603188
674,603187
675,603186
676,603185
677,603183
678,603181
679,603180
680,603179
681,603178
682,603177
683,603169
684,603168
685,603167
686,603166
687,603165
688,603161
689,603160
690,603159
691,603158
692,603157
693,603156
694,603155
695,603139
696,603138
